"Year","N","Y"
"1998",94,10
"1998",162,19
"1998",122,14
"1998",135,14
"1998",144,16
"1998",145,13
"1998",103,13
"1998",94,8
"1998",136,15
"1998",118,12
"1998",101,10
"1998",125,16
"1998",166,15
"1998",185,20
"1998",87,9
"1998",81,6
"1998",143,16
"1998",133,15
"1998",75,16
"1998",84,7
"1998",54,4
"1998",53,4
"1998",105,11
"1998",91,10
"1998",177,20
"1998",35,4
"1998",132,17
"1998",107,9
"1998",160,17
"1998",69,7
"1998",98,18
"1998",90,8
"1998",101,16
"1998",152,17
"1998",110,9
"1998",115,11
"1998",120,15
"1998",112,11
"1998",161,19
"1998",111,10
"1998",125,16
"1998",91,10
"1998",89,8
"1998",139,14
"1998",99,13
"1998",86,8
"1998",84,11
"1998",92,12
"1998",90,8
"1998",150,18
"1998",41,7
"1998",75,6
"1998",152,15
"1998",117,16
"1998",93,11
"1998",94,10
"1998",148,17
"1998",131,14
"1998",82,9
"1998",68,6
"1998",57,7
"1998",156,15
"1998",160,18
"1998",70,6
"1998",120,14
"1998",59,4
"1998",82,9
"1998",48,4
"1998",137,24
"1998",69,8
"1998",157,20
"1998",44,9
"1998",124,18
"1998",63,7
"1998",41,2
"1998",81,10
"1998",147,13
"1998",69,8
"1998",101,13
"1998",132,18
"1998",83,9
"1998",98,13
"1998",161,20
"1998",137,14
"1998",38,5
"1998",51,4
"1998",92,31
"1998",47,4
"1998",62,8
"1998",77,12
"1998",154,16
"1998",94,11
"1998",106,25
"1998",61,8
"1998",97,13
"1998",78,9
"1998",104,19
"1998",83,10
"1998",83,11
"1998",69,8
"1998",92,17
"1998",103,10
"1998",104,20
"1998",109,12
"1998",77,9
"1998",140,16
"1998",125,16
"1998",114,11
"1998",104,13
"1998",86,8
"1998",109,12
"1998",155,20
"1998",106,15
"1998",130,10
"1998",87,10
"1998",87,9
"1998",92,8
"1998",100,10
"1998",74,6
"1998",83,9
"1998",66,7
"1998",96,11
"1998",77,11
"1998",83,9
"1998",122,13
"1998",154,16
"1998",112,11
"1998",84,8
"1998",101,10
"1998",116,12
"1998",119,10
"1998",144,17
"1998",81,6
"2000",79,11
"2000",156,24
"2000",124,13
"2000",146,19
"2000",141,19
"2000",139,16
"2000",102,8
"2000",78,7
"2000",147,22
"2000",117,14
"2000",75,6
"2000",126,14
"2000",158,18
"2000",168,19
"2000",83,12
"2000",79,8
